ETF,n_obs,std_전체_3Y_bp,std_winsorized_3Y_bp,std_60D_bp,std_주간리샘플_bp,0변화_비율,top5_최대변화_bp,top5_날짜
LQD,752,2.771,2.442,1.701,4.992,0.0,"[22.46, 15.06, 14.46, 13.37, 11.9]","['2025-04-09', '2023-10-09', '2023-10-10', '2025-04-03', '2024-08-02']"
VCIT,752,9.238,3.44,3.453,14.107,0.0,"[93.62, 91.84, 91.48, 85.83, 85.82]","['2023-09-01', '2023-10-02', '2023-09-05', '2023-10-03', '2023-11-02']"
