종목코드,종목명,DUR(근사),Price,수량,근사dv01
XS3344489755,HANFGI 4 ⅞ 06/02/31 Corp,4.2673,98.861,200000000,84374.0
XS3033158885,HANFGI 5 04/30/28 Corp,1.6819,100.274,300000000,50596.17
