ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
USY8085FBU31,HYUELE,BBB-,비금융,-1567.187372775,15.617,individual_cache,-24475.0,-40261.0,-57026.0
USY8085FBZ28,HYUELE,BBB+,비금융,-2692.4045148,1.692,individual_cache,-4556.0,-7494.0,-10614.0
XS1795263281,SHNHAN,BBB+,금융,-471.83132568,3.0,individual_cache,-1415.0,-2328.0,-3298.0
XS1795263281,SHNHAN,BBB+,금융,-440.375903968,3.0,individual_cache,-1321.0,-2173.0,-3078.0
XS1795263281,SHNHAN,BBB+,금융,-471.83132568,3.0,individual_cache,-1415.0,-2328.0,-3298.0
XS1932879130,CITNAT,BBB+,금융,-682.14590499,2.591,individual_cache,-1767.0,-2907.0,-4118.0
XS1932879130,CITNAT,BBB+,금융,-454.76393665999996,2.591,individual_cache,-1178.0,-1938.0,-2745.0
XS1932879130,CITNAT,BBB+,금융,-955.0042669859998,2.591,individual_cache,-2474.0,-4070.0,-5765.0
XS1932879130,CITNAT,BBB+,금융,-2046.4377149700001,2.591,individual_cache,-5302.0,-8722.0,-12354.0
XS1932879130,CITNAT,BBB+,금융,-295.59655882899995,2.591,individual_cache,-766.0,-1260.0,-1785.0
XS2703610050,DFHOLD,BBB,금융,-670.2530650199999,2.618,individual_cache,-1755.0,-2887.0,-4089.0
XS2703610050,DFHOLD,BBB,금융,-159.5840631,2.618,individual_cache,-418.0,-687.0,-973.0
XS2985211569,DAESEC,NR,금융,-304.57266442,2.372,individual_cache,-722.0,-1188.0,-1683.0
XS2985211569,DAESEC,NR,금융,-761.43166105,2.372,individual_cache,-1806.0,-2971.0,-4208.0
XS2985211569,DAESEC,NR,금융,-609.14532884,2.372,individual_cache,-1445.0,-2377.0,-3367.0
XS2985211569,DAESEC,NR,금융,-1522.8633221,2.372,individual_cache,-3612.0,-5942.0,-8417.0
XS3078370726,KUB,NR,금융,-88.35717426000001,2.263,individual_cache,-200.0,-329.0,-466.0
XS3189630372,DAESEC,BBB,금융,-4388.051170305,1.513,individual_cache,-6639.0,-10921.0,-15469.0
XS3299380850,DAESEC,BBB,금융,-1157.7128590799998,2.869,individual_cache,-3321.0,-5464.0,-7739.0
XS3304372868,BACR,A,금융,-4179.158665,2.276,individual_cache,-9512.0,-15647.0,-22162.0
XS3412559299,DAESEC,BBB,금융,-2122.37967645,2.618,individual_cache,-5556.0,-9140.0,-12946.0
XS3423950230,NHSECS,A-,금융,-1275.3606187199998,2.167,individual_cache,-2764.0,-4546.0,-6439.0
FR0014010FH7,BNP,A-,금융,-4996.9621019999995,2.403,individual_cache,-12008.0,-19753.0,-27978.0
US02079KBM80,GOOGL,A,비금융,-358.386076665,1.748,individual_cache,-626.0,-1031.0,-1460.0
US05964HBJ32,SANTAN,A,비금융,-313.99645097999996,2.771,individual_cache,-870.0,-1431.0,-2027.0
US06051GHZ54,BAC,A,금융,-1522.74238915,2.583,individual_cache,-3933.0,-6470.0,-9164.0
US09659X2X97,BNP,A-,금융,-1513.1038445,2.545,individual_cache,-3851.0,-6335.0,-8972.0
US38141GC365,GS,A-,금융,-313.7172445,2.336,individual_cache,-733.0,-1206.0,-1708.0
US404280EM70,HSBC,A-,금융,-258.77179944,2.653,individual_cache,-687.0,-1129.0,-1600.0
US44891CEA71,HYNMTR,A-,비금융,-178.5235571,1.498,individual_cache,-267.0,-440.0,-623.0
US46647PEJ12,JPM,A,금융,-271.45482351,2.829,individual_cache,-768.0,-1263.0,-1789.0
US46647PEJ12,JPM,A,금융,-1357.27411755,2.829,individual_cache,-3840.0,-6316.0,-8947.0
US46647PEJ12,JPM,A,금융,-2986.00305861,2.829,individual_cache,-8447.0,-13896.0,-19682.0
US46647PEV40,JPM,A,금융,-313.62458843999997,2.41,individual_cache,-756.0,-1243.0,-1761.0
US46647PFD33,JPM,A,금융,-185.36033952500003,2.143,individual_cache,-397.0,-653.0,-926.0
US46647PFE16,JPM,A,금융,-1392.2690524,1.737,individual_cache,-2418.0,-3978.0,-5635.0
US46647PFJ03,JPM,A,금융,-703.31451774,1.862,individual_cache,-1310.0,-2154.0,-3051.0
US500631AE67,KORELE,AA-,비금융,-584.6865614303999,2.406,individual_cache,-1407.0,-2314.0,-3278.0
US500631AE67,KORELE,AA-,비금융,-191.1475296984,2.406,individual_cache,-460.0,-757.0,-1072.0
US500631AE67,KORELE,AA-,비금융,-5621.9861676,2.406,individual_cache,-13526.0,-22251.0,-31517.0
US61748UAR32,MS,A-,금융,-2247.4787201999998,2.658,individual_cache,-5974.0,-9827.0,-13919.0
US61748UAV44,MS,A-,금융,-1246.05055575,2.447,individual_cache,-3049.0,-5016.0,-7104.0
US61748UAV44,MS,A-,금융,-1246.05055575,2.447,individual_cache,-3049.0,-5016.0,-7104.0
US61778EUR07,MS,A-,금융,-128.92494753,2.454,individual_cache,-316.0,-520.0,-737.0
